Feeder,Pf,QF,Pg,B,R,P_rsrv,Cost,time
feeder1,3.4451458111788713,0.11002195125967967,0.5228541362426071,0.24999999279105703,5257852143276241e-23,0,18863.96039651746,1.5271110534667969
feeder2,1.9571354439132422,0.11425000000000002,0.32786450350823626,0.24999999279105703,5257852143285491e-23,0,18863.96039651746,1.5271110534667969
feeder3,2.598350713289084,-0.1503,0.40764923413239407,0.24999999279105703,5257852143277429e-23,0,18863.96039651746,1.5271110534667969
feeder4,1.5673798509072026,-0.09090000000000001,0.250620096514276,0.24999999279105703,52578521432719586e-24,0,18863.96039651746,1.5271110534667969
feeder5,2.174236705806955,0.07672637943152258,0.35476324303398954,0.24999999275123527,5115905500058101e-23,0,18863.96039651746,1.5271110534667969
feeder6,3.4063020180254275,0.1998,0.5896979308155171,0.24999999275123527,5115905500050183e-23,0,18863.96039651746,1.5271110534667969
feeder7,2.016736775695023,-0.11699999999999999,0.3232631731459213,0.24999999275123527,51159055000410834e-24,0,18863.96039651746,1.5271110534667969
feeder8,3.1092684982156404,-0.18100000000000002,0.5107314506253045,0.24999999275123527,51159055000485267e-24,0,18863.96039651746,1.5271110534667969
feeder9,1.3000722741366464,0.05428118276979599,0.2159276725357273,0.24999999160625305,53327626339761e-21,0,18863.96039651746,1.5271110534667969
feeder10,1.475951457422414,-0.08610000000000001,0.24604848924995962,0.24999999160625305,53327626339647466e-24,0,18863.96039651746,1.5271110534667969
feeder11,2.39042409395362,0.13905,0.3905758527187538,0.24999999160625305,53327626339727775e-24,0,18863.96039651746,1.5271110534667969
feeder12,2.0871802590803594,-0.12145,0.3418196875920141,0.24999999160625305,53327626339692015e-24,0,18863.96039651746,1.5271110534667969
