Feeder,Pf,QF,Pg,B,R,P_rsrv,Cost,time
feeder1,-1.2627500159976413,0.1240894981250054,4.633750068805393,0.24999998855675648,-5280775224818562e-23,0,11623.33401746316,2.370054006576538
feeder2,-0.8166707906808243,-0.10445,2.9056708434885765,0.24999998855675648,-5280775224817508e-23,0,11623.33401746316,2.370054006576538
feeder3,-0.8917560745391967,-0.13605,3.612756127346949,0.24999998855675648,-5280775224817952e-23,0,11623.33401746316,2.370054006576538
feeder4,-0.5600989055780593,-0.08305000000000001,2.2210989583858116,0.24999998855675648,-52807752248202537e-24,0,11623.33401746316,2.370054006576538
feeder5,-0.8860589377079496,-0.1129,3.1440589921798505,0.24999998839514737,-5447190091088016e-23,0,11623.33401746316,2.370054006576538
feeder6,-1.0011469230192087,0.1764287249208611,5.226146977491109,0.24999998839514737,-54471900910896215e-24,0,11623.33401746316,2.370054006576538
feeder7,-0.7928918961143475,-0.10360000000000001,2.8648919505862485,0.24999998839514737,-5447190091089627e-23,0,11623.33401746316,2.370054006576538
feeder8,-1.3053133129563992,-0.16105000000000003,4.5263133674283,0.24999998839514737,-54471900910865794e-24,0,11623.33401746316,2.370054006576538
feeder9,-0.6336895313342614,0.030830239391152855,1.9146895845077934,0.24999998853824393,-53173532028258766e-24,0,11623.33401746316,2.370054006576538
feeder10,-0.5867783955212604,0.07975,2.1817784486947924,0.24999998853824393,-5317353202826777e-23,0,11623.33401746316,2.370054006576538
feeder11,-0.7963415858668641,-0.13335,3.463341639040396,0.24999998853824393,-5317353202827098e-23,0,11623.33401746316,2.370054006576538
feeder12,-0.8310074933520373,-0.11000000000000001,3.0310075465255695,0.24999998853824393,-5317353202826163e-23,0,11623.33401746316,2.370054006576538
