Feeder,Pf,QF,Pg,B,R,P_rsrv,Cost,time
feeder1,2.821999924047988,0.07043772081770605,0,0.24999998338690252,7595201230032355e-23,0,8560.250029352843,2.0614118576049805
feeder2,1.8379999240479878,0.09190000000000001,0,0.24999998338690252,7595201230029197e-23,0,8560.250029352843,2.0614118576049805
feeder3,2.180999924047988,-0.10905000000000001,0,0.24999998338690252,7595201230024099e-23,0,8560.250029352843,2.0614118576049805
feeder4,1.2989999240479877,-0.06495,0,0.24999998338690252,7595201230049515e-23,0,8560.250029352843,2.0614118576049805
feeder5,2.0239999219482288,0.0611821630267739,0,0.24999998366612317,7805177106814591e-23,0,8560.250029352843,2.0614118576049805
feeder6,3.1259999219482286,0.1563,0,0.24999998366612317,7805177106824746e-23,0,8560.250029352843,2.0614118576049805
feeder7,1.847999921948229,-0.09240000000000001,0,0.24999998366612317,7805177106814133e-23,0,8560.250029352843,2.0614118576049805
feeder8,2.864999921948229,-0.14325000000000002,0,0.24999998366612317,78051771068213e-21,0,8560.250029352843,2.0614118576049805
feeder9,1.3149999129191163,0.04400764029864175,0,0.24999998360971765,8708088355456446e-23,0,8560.250029352843,2.0614118576049805
feeder10,1.3059999129191164,-0.06530000000000001,0,0.24999998360971765,8708088355441931e-23,0,8560.250029352843,2.0614118576049805
feeder11,2.1809999129191167,0.10905000000000001,0,0.24999998360971765,870808835546068e-22,0,8560.250029352843,2.0614118576049805
feeder12,1.9919999129191164,-0.09960000000000001,0,0.24999998360971765,8708088355418111e-23,0,8560.250029352843,2.0614118576049805
