Feeder,Pf,QF,Pg,B,R,P_rsrv,Cost,time
feeder1,1.9598788595519974,0.09573234818474091,1.2851209575175933,0.2499999943288686,1829304094414777e-22,0,17602.187029057568,1.5828378200531006
feeder2,1.4321430391395071,0.1119,0.8058567779300835,0.2499999943288686,1829304094416257e-22,0,17602.187029057568,1.5828378200531006
feeder3,1.5590404868325956,-0.12805,1.001959330236995,0.2499999943288686,18293040944193694e-23,0,17602.187029057568,1.5828378200531006
feeder4,1.125001740728742,-0.08705000000000002,0.6159980763408487,0.2499999943288686,1829304094420699e-22,0,17602.187029057568,1.5828378200531006
feeder5,1.3200287644624038,0.07120814517028548,0.8719710525993651,0.24999999429387104,18293823127127928e-23,0,17602.187029057568,1.5828378200531006
feeder6,2.403583764411555,0.19265000000000002,1.4494160526502138,0.24999999429387104,18293823127102067e-23,0,17602.187029057568,1.5828378200531006
feeder7,1.264452629588384,-0.10295000000000001,0.7945471874733848,0.24999999429387104,18293823127126432e-23,0,17602.187029057568,1.5828378200531006
feeder8,2.1756751424340193,-0.17155,1.2553246746277495,0.24999999429387104,1829382312710095e-22,0,17602.187029057568,1.5828378200531006
feeder9,0.7200907061315684,-0.06255,0.5309091121121465,0.24999999432158504,18175628493678247e-23,0,17602.187029057568,1.5828378200531006
feeder10,1.145031581146341,0.04513922266312201,0.604968237097374,0.24999999432158504,1817562849363263e-22,0,17602.187029057568,1.5828378200531006
feeder11,1.350676973781841,0.11555,0.9603228444618741,0.24999999432158504,1817562849365724e-22,0,17602.187029057568,1.5828378200531006
feeder12,1.2165555040433593,-0.10285,0.8404443142003556,0.24999999432158504,18175628493631737e-23,0,17602.187029057568,1.5828378200531006
