Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,3.644333107948495,0.07474726808161597,0,0.091,-0.833333107948495,0,13.89582403977268,48.32272809830949,1.652298927307129
feeder2,2.6753331080459306,0.09210000000000002,0,0.0942,-0.8333331080459306,0,13.89582403977268,48.32272809830949,1.652298927307129
feeder3,3.0143331093170675,-0.10905000000000001,0,0.1434,-0.8333331093170674,0,13.89582403977268,48.32272809830949,1.652298927307129
feeder4,2.1583331092286384,-0.06625,0,0.1402,-0.8333331092286387,0,13.89582403977268,48.32272809830949,1.652298927307129
feeder5,2.7013331036502657,0.058568850095128605,0,0.1382,-0.8333331036502656,0,13.89582403977268,48.32272809830949,1.652298927307129
feeder6,3.8513331061573095,0.1509,0,0.2144,-0.8333331061573096,0,13.89582403977268,48.32272809830949,1.652298927307129
feeder7,2.5593331030710647,-0.0863,0,0.1192,-0.8333331030710648,0,13.89582403977268,48.32272809830949,1.652298927307129
feeder8,3.5173331043064073,-0.1342,0,0.1813,-0.8333331043064071,0,13.89582403977268,48.32272809830949,1.652298927307129
feeder9,2.0303331142532604,0.045270269868451694,0,0.1355,-0.8333331142532603,0,13.89582403977268,48.32272809830949,1.652298927307129
feeder10,2.0513331142382705,-0.0609,0,0.0664,-0.8333331142382705,0,13.89582403977268,48.32272809830949,1.652298927307129
feeder11,2.9573331139781933,0.10620000000000002,0,0.1182,-0.8333331139781932,0,13.89582403977268,48.32272809830949,1.652298927307129
feeder12,2.733333114147389,-0.095,0,0.058,-0.8333331141473891,0,13.89582403977268,48.32272809830949,1.652298927307129
