Feeder,Pf,QF,Pg,B,R,P_rsrv,Cost,time
feeder1,0.9308682717875288,0.08972396927714095,2.368131902967515,0.24999997198295548,-17475504383024844e-23,0,16971.715070577295,2.2779369354248047
feeder2,0.7690232135150031,0.11270000000000001,1.4849769612400407,0.24999997198295548,-17475504383027393e-23,0,16971.715070577295,2.2779369354248047
feeder3,0.6656590354235475,-0.12560000000000002,1.8463411393314964,0.24999997198295548,-1747550438303238e-22,0,16971.715070577295,2.2779369354248047
feeder4,0.568881656692883,-0.0852,1.1351185180621608,0.24999997198295548,-17475504383028396e-23,0,16971.715070577295,2.2779369354248047
feeder5,0.520192262602916,0.06683224349970096,1.6068079124443848,0.24999997196525076,-17504730093846006e-23,0,16971.715070577295,2.2779369354248047
feeder6,1.137116831526192,0.1904,2.670883343521109,0.24999997196525076,-17504730093843023e-23,0,16971.715070577295,2.2779369354248047
feeder7,0.5068637424585128,-0.09855000000000001,1.4641364325887882,0.24999997196525076,-17504730093838494e-23,0,16971.715070577295,2.2779369354248047
feeder8,1.0367749571785112,-0.1675,2.3132252178687898,0.24999997196525076,-17504730093846036e-23,0,16971.715070577295,2.2779369354248047
feeder9,0.28679151336269004,-0.06325,0.9782086574313089,0.2499999722557095,-17079399904657136e-23,0,16971.715070577295,2.2779369354248047
feeder10,0.5783365718003334,0.04597320175605456,1.1146635989936657,0.2499999722557095,-17079399904665617e-23,0,16971.715070577295,2.2779369354248047
feeder11,0.5545900557445828,0.1162,1.7694101150494161,0.2499999722557095,-17079399904666872e-23,0,16971.715070577295,2.2779369354248047
feeder12,0.5334681544436183,-0.1041,1.5485320163503806,0.2499999722557095,-17079399904668158e-23,0,16971.715070577295,2.2779369354248047
