Feeder,Pf,QF,Pg,B,R,P_rsrv,Cost,time
feeder1,2.0986205809029164,0.08364958257453484,0.9273793537217232,0.2499999856343323,6537536024141816e-23,23166910218981657e-21,11208.045011985316,2.4071428775787354
feeder2,1.2224710320125625,0.0902,0.5815289026120772,0.2499999856343323,6537536024141611e-23,23166910218981657e-21,11208.045011985316,2.4071428775787354
feeder3,1.5599579180627288,-0.11415,0.723042016561911,0.2499999856343323,6537536024137126e-23,23166910218981657e-21,11208.045011985316,2.4071428775787354
feeder4,0.8794784077774414,-0.06620000000000001,0.4445215268471984,0.2499999856343323,6537536024137458e-23,23166910218981657e-21,11208.045011985316,2.4071428775787354
feeder5,1.2417611708137142,0.03854419602807274,0.6292387719785495,0.24999998525800032,572077362571352e-22,23166910218981657e-21,11208.045011985316,2.4071428775787354
feeder6,2.6030605778706026,0.18245,1.045939364921661,0.24999998525800032,5720773625709605e-23,23166910218981657e-21,11208.045011985316,2.4071428775787354
feeder7,1.1866323585526262,-0.08800000000000001,0.5733675842396374,0.24999998525800032,5720773625710625e-23,23166910218981657e-21,11208.045011985316,2.4071428775787354
feeder8,1.9541223719251062,-0.143,0.9058775708671574,0.24999998525800032,5720773625708998e-23,23166910218981657e-21,11208.045011985316,2.4071428775787354
feeder9,0.7593410523269777,0.04196142318946086,0.38465887292613665,0.24999998620254324,7474688552920342e-23,23166910218981657e-21,11208.045011985316,2.4071428775787354
feeder10,0.9056830346470264,-0.06720000000000001,0.4383168906060882,0.24999998620254324,7474688552921844e-23,23166910218981657e-21,11208.045011985316,2.4071428775787354
feeder11,1.7012183992971133,0.11985,0.695781525956001,0.24999998620254324,7474688552921418e-23,23166910218981657e-21,11208.045011985316,2.4071428775787354
feeder12,1.397073842959355,-0.1003,0.6089260822937593,0.24999998620254324,7474688552920041e-23,23166910218981657e-21,11208.045011985316,2.4071428775787354
