Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder1,-1.922087567476202,0.021137131291383726,5.301087582515796,2.4999999901760437,-1503959446240094e-23,0,-15.88476445695461,-85.92333896906744,2.434345006942749
feeder2,-1.207136057604052,-0.10585,3.3241360726436464,2.4999999901760437,-15039594457251136e-24,0,-15.88476445695461,-85.92333896906744,2.434345006942749
feeder3,-1.4020534557244524,-0.13655,4.133053470764047,2.4999999901760437,-1503959445268255e-23,0,-15.88476445695461,-85.92333896906744,2.434345006942749
feeder4,-0.8519743644317996,-0.08445000000000001,2.540974379471394,2.4999999901760437,-1503959445535526e-23,0,-15.88476445695461,-85.92333896906744,2.434345006942749
feeder5,-1.337856044565429,-0.11295,3.5968560579442688,2.4999999901561227,-13378839716848791e-24,0,-15.88476445695461,-85.92333896906744,2.434345006942749
feeder6,-1.7457995907629225,0.07016246803707697,5.978799604141762,2.4999999901561227,-13378839716848004e-24,0,-15.88476445695461,-85.92333896906744,2.434345006942749
feeder7,-1.185484323331651,-0.10460000000000001,3.277484336710491,2.4999999901561227,-1337883971683765e-23,0,-15.88476445695461,-85.92333896906744,2.434345006942749
feeder8,-1.9161782288246307,-0.16310000000000002,5.178178242203471,2.4999999901561227,-1337883971684795e-23,0,-15.88476445695461,-85.92333896906744,2.434345006942749
feeder9,-0.8963450725719984,-0.04053665929746218,2.190345087740453,2.499999990152989,-15168454477900336e-24,0,-15.88476445695461,-85.92333896906744,2.434345006942749
feeder10,-0.8698864387528973,0.0813,2.4958864539213517,2.499999990152989,-15168454477899602e-24,0,-15.88476445695461,-85.92333896906744,2.434345006942749
feeder11,-1.2919547320488296,-0.1335,3.961954747217284,2.499999990152989,-15168454477899674e-24,0,-15.88476445695461,-85.92333896906744,2.434345006942749
feeder12,-1.2603780229784567,-0.11035,3.467378038146911,2.499999990152989,-15168454477901177e-24,0,-15.88476445695461,-85.92333896906744,2.434345006942749
