Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,-0.7096325138937961,0.0962681171369778,4.456279321098255,0.555667294335406,-0.4166468072044588,0.0,0.0,-4.860776865137764,-16.563093385525352,1.765,5236.022504053595,5236.411497647351,0.000415752350101349,-1.4664442722443995,0.0003856019963117791
feeder2,-0.14173859878265704,0.11180000000000001,2.794385405987116,0.555667294333986,-0.4166468072044588,0.0,0.0,-4.860776865137764,-16.563093385525352,1.765,0.0,5236.616544664222,0.0009608038836234129,-2.237042950180437,0.00043850962410955696
feeder3,-0.5597429435383222,-0.12490000000000001,3.4743897507427812,0.5556672943354017,-0.4166468072044588,0.0,0.0,-4.860776865137764,-16.563093385525352,1.765,0.0,5236.482851658019,0.0002591927767318879,-1.1572896427129271,0.00037901779622660846
feeder4,-0.0553854032143869,-0.0832,2.1360322104188456,0.5556672943336,-0.4166468072044588,0.0,0.0,-4.860776865137764,-16.563093385525352,1.765,0.0,0.0,0.0,0.0,0.0
feeder5,-0.47099567173132606,0.0730736286561168,3.0236425060855083,0.5556603422845983,-0.41664683435418215,0.0,0.0,-4.860776865137764,-16.563093385525352,1.765,0.0,0.0,0.0,0.0,0.0
feeder6,-0.786341871892836,0.19115000000000001,5.025988706247018,0.5556603422850768,-0.41664683435418215,0.0,0.0,-4.860776865137764,-16.563093385525352,1.765,0.0,0.0,0.0,0.0,0.0
feeder7,-0.3725214856873812,-0.0983,2.7551683200415633,0.5556603422841109,-0.41664683435418215,0.0,0.0,-4.860776865137764,-16.563093385525352,1.765,0.0,0.0,0.0,0.0,0.0
feeder8,-0.607311466208318,-0.16645000000000001,4.3529583005625,0.5556603422852999,-0.41664683435418215,0.0,0.0,-4.860776865137764,-16.563093385525352,1.765,0.0,0.0,0.0,0.0,0.0
feeder9,-0.1459391801001702,-0.0639,1.8405859971901526,0.5556745716956929,-0.41664681708998236,0.0,0.0,-4.860776865137764,-16.563093385525352,1.765,0.0,0.0,0.0,0.0,0.0
feeder10,-0.041692033982038634,0.0477886236603729,2.097338851072021,0.5556745716960464,-0.41664681708998236,0.0,0.0,-4.860776865137764,-16.563093385525352,1.765,0.0,0.0,0.0,0.0,0.0
feeder11,-0.5316559260186522,0.11904999999999999,3.3293027431086344,0.5556745716965722,-0.41664681708998236,0.0,0.0,-4.860776865137764,-16.563093385525352,1.765,0.0,0.0,0.0,0.0,0.0
feeder12,-0.438054108420372,-0.10295000000000001,2.9137009255103545,0.5556745716962729,-0.41664681708998236,0.0,0.0,-4.860776865137764,-16.563093385525352,1.765,0.0,0.0,0.0,0.0,0.0
