Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,3.6582359665928155,0.07337401458515078,-0.0,0.034897604645401314,0.08332235191671904,0.000163761651736315,0.07292251931114357,30.27798739396922,94.49255232534561,1.844,5347.352245680838,5344.794679472923,0.017283340388539053,9.612184266857865,0.011584005068861916
feeder2,2.226018882813603,0.11546706173651611,-0.0,0.0348976046454013,0.08332235191671904,0.000163761651736315,0.07292251931114357,30.27798739396922,94.49255232534561,1.844,0.0,5344.293396446321,0.02488766816163763,11.535013944858562,0.010874591065757782
feeder3,2.18915289565057,-0.11362376237836447,-0.0,0.034897604645401384,0.08332235191671904,0.000163761651736315,0.07292251931114357,30.27798739396922,94.49255232534561,1.844,0.0,5344.242963123369,0.011373055602318181,7.797340656754615,0.010040636457447311
feeder4,1.536482245630316,-0.08099022987735176,-0.0,0.03489760464540094,0.08332235191671904,0.000163761651736315,0.07292251931114357,30.27798739396922,94.49255232534561,1.844,0.0,0.0,0.0,0.0,0.0
feeder5,2.4998054491531057,0.11110898243937106,-0.0,0.034898835527683705,0.0833211074587339,0.000163761651736315,0.07292251931114357,30.27798739396922,94.49255232534561,1.844,0.0,0.0,0.0,0.0,0.0
feeder6,3.305331415851371,0.16943262616550525,-0.0,0.03489883552768366,0.08332110745873389,0.000163761651736315,0.07292251931114357,30.27798739396922,94.49255232534561,1.844,0.0,0.0,0.0,0.0,0.0
feeder7,2.116846767897063,-0.11000839376778984,-0.0,0.03489883552768304,0.08332110745873388,0.000163761651736315,0.07292251931114357,30.27798739396922,94.49255232534561,1.844,0.0,0.0,0.0,0.0,0.0
feeder8,3.609726565035955,-0.18465238362473446,-0.0,0.034898835527684004,0.08332110745873389,0.000163761651736315,0.07292251931114357,30.27798739396922,94.49255232534561,1.844,0.0,0.0,0.0,0.0,0.0
feeder9,1.7731584645289395,-0.09282419359658217,-0.0,0.034898073239827195,0.08332540740270362,0.000163761651736315,0.07292251931114357,30.27798739396922,94.49255232534561,1.844,0.0,0.0,0.0,0.0,0.0
feeder10,1.871994610428766,0.08890060309255167,-0.0,0.03489807323982706,0.08332540740270364,0.000163761651736315,0.07292251931114357,30.27798739396922,94.49255232534561,1.844,0.0,0.0,0.0,0.0,0.0
feeder11,2.043282586503429,0.10633039969530662,-0.0,0.03489807323982612,0.08332540740270362,0.000163761651736315,0.07292251931114357,30.27798739396922,94.49255232534561,1.844,0.0,0.0,0.0,0.0,0.0
feeder12,2.1066404060371346,-0.1094982906719919,-0.0,0.03489807323982726,0.08332540740270362,0.000163761651736315,0.07292251931114357,30.27798739396922,94.49255232534561,1.844,0.0,0.0,0.0,0.0,0.0
