Feeder,Pf,QF,Pg,B,R,P_rsrv,B_rsrv,P_0,Cost,time,v_0,v,l,P_hat,Q_hat
feeder1,3.741380501145243,0.12053562558326486,-0.0,0.1666611578971704,-0.08331503731298458,4.099388932803779e-5,1.0726059715782905,33.593308347093405,107.33728721334752,2.453,5348.368227370196,5345.23155157303,0.02612430728724954,11.819334578948306,0.012671104206387004
feeder2,2.6545846784032507,0.12856348205451315,-0.0,0.16666115789710362,-0.0833150373129879,4.099388932803779e-5,1.0726059715782905,33.593308347093405,107.33728721334752,2.453,0.0,5344.551731634296,0.0389973339921119,14.441121286277625,0.011150266920281647
feeder3,3.3324065552368523,-0.16245457589619325,-0.0,0.16666115789711047,-0.08331503731298755,4.099388932803779e-5,1.0726059715782905,33.593308347093405,107.33728721334752,2.453,0.0,5344.435286840337,0.01833421195723682,9.901563398283983,0.010612785100117367
feeder4,2.0874949087164616,-0.10020899357017415,-0.0,0.16666115789728833,-0.08331503731297875,4.099388932803779e-5,1.0726059715782905,33.593308347093405,107.33728721334752,2.453,0.0,0.0,0.0,0.0,0.0
feeder5,3.2743432604264644,0.07606407282634381,-0.0,0.1666608173397313,-0.08331495772791792,4.099388932803779e-5,1.0726059715782905,33.593308347093405,107.33728721334752,2.453,0.0,0.0,0.0,0.0,0.0
feeder6,4.49837074026094,0.22075278912665058,-0.0,0.16666081733950688,-0.08331495772792867,4.099388932803779e-5,1.0726059715782905,33.593308347093405,107.33728721334752,2.453,0.0,0.0,0.0,0.0,0.0
feeder7,2.371920815194795,-0.11443029287334364,-0.0,0.16666081733963745,-0.08331495772792241,4.099388932803779e-5,1.0726059715782905,33.593308347093405,107.33728721334752,2.453,0.0,0.0,0.0,0.0,0.0
feeder8,4.291309632564981,-0.2103997337418529,-0.0,0.16666081733961263,-0.0833149577279236,4.099388932803779e-5,1.0726059715782905,33.593308347093405,107.33728721334752,2.453,0.0,0.0,0.0,0.0,0.0
feeder9,1.9418643022735638,0.08441052258246384,-0.0,0.1666609946343504,-0.08331512356058085,4.099388932803779e-5,1.0726059715782905,33.593308347093405,107.33728721334752,2.453,0.0,0.0,0.0,0.0,0.0
feeder10,1.8724842079734612,-0.08945845422064386,-0.0,0.16666099463428288,-0.08331512356058413,4.099388932803779e-5,1.0726059715782905,33.593308347093405,107.33728721334752,2.453,0.0,0.0,0.0,0.0,0.0
feeder11,2.922204967355703,0.1419444921897562,-0.0,0.16666099463437778,-0.08331512356057952,4.099388932803779e-5,1.0726059715782905,33.593308347093405,107.33728721334752,2.453,0.0,0.0,0.0,0.0,0.0
feeder12,3.1613591797802143,-0.15390220281098166,-0.0,0.16666099463433398,-0.08331512356058164,4.099388932803779e-5,1.0726059715782905,33.593308347093405,107.33728721334752,2.453,0.0,0.0,0.0,0.0,0.0
