"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM 10 Min Sync","DAM 10 Min Non Sync","DAM 30 Min Non Sync","DAM NYCA Regulation Capacity","DAM AS Price Version"
"2019/01/01 00:00:00","EST","CAPITL","61757","3","3","3","26.77","1"
"2019/01/01 00:00:00","EST","CENTRL","61754","3","3","3","26.77","1"
"2019/01/01 00:00:00","EST","DUNWOD","61760","3","3","3","26.77","1"
"2019/01/01 00:00:00","EST","GENESE","61753","3","3","3","26.77","1"
"2019/01/01 00:00:00","EST","HUD VL","61758","3","3","3","26.77","1"
"2019/01/01 00:00:00","EST","LONGIL","61762","3","3","3","26.77","1"
"2019/01/01 00:00:00","EST","MHK VL","61756","3","3","3","26.77","1"
"2019/01/01 00:00:00","EST","MILLWD","61759","3","3","3","26.77","1"
"2019/01/01 00:00:00","EST","N.Y.C.","61761","3","3","3","26.77","1"
"2019/01/01 00:00:00","EST","NORTH","61755","3","3","3","26.77","1"
"2019/01/01 00:00:00","EST","WEST","61752","3","3","3","26.77","1"
"2019/01/01 01:00:00","EST","CAPITL","61757","3","3","3","21.1","1"
"2019/01/01 01:00:00","EST","CENTRL","61754","3","3","3","21.1","1"
"2019/01/01 01:00:00","EST","DUNWOD","61760","3","3","3","21.1","1"
"2019/01/01 01:00:00","EST","GENESE","61753","3","3","3","21.1","1"
"2019/01/01 01:00:00","EST","HUD VL","61758","3","3","3","21.1","1"
"2019/01/01 01:00:00","EST","LONGIL","61762","3","3","3","21.1","1"
"2019/01/01 01:00:00","EST","MHK VL","61756","3","3","3","21.1","1"
"2019/01/01 01:00:00","EST","MILLWD","61759","3","3","3","21.1","1"
"2019/01/01 01:00:00","EST","N.Y.C.","61761","3","3","3","21.1","1"
"2019/01/01 01:00:00","EST","NORTH","61755","3","3","3","21.1","1"
"2019/01/01 01:00:00","EST","WEST","61752","3","3","3","21.1","1"
"2019/01/01 02:00:00","EST","CAPITL","61757","3","3","3","21.1","1"
"2019/01/01 02:00:00","EST","CENTRL","61754","3","3","3","21.1","1"
"2019/01/01 02:00:00","EST","DUNWOD","61760","3","3","3","21.1","1"
"2019/01/01 02:00:00","EST","GENESE","61753","3","3","3","21.1","1"
"2019/01/01 02:00:00","EST","HUD VL","61758","3","3","3","21.1","1"
"2019/01/01 02:00:00","EST","LONGIL","61762","3","3","3","21.1","1"
"2019/01/01 02:00:00","EST","MHK VL","61756","3","3","3","21.1","1"
"2019/01/01 02:00:00","EST","MILLWD","61759","3","3","3","21.1","1"
"2019/01/01 02:00:00","EST","N.Y.C.","61761","3","3","3","21.1","1"
"2019/01/01 02:00:00","EST","NORTH","61755","3","3","3","21.1","1"
"2019/01/01 02:00:00","EST","WEST","61752","3","3","3","21.1","1"
"2019/01/01 03:00:00","EST","CAPITL","61757","3","3","3","3","1"
"2019/01/01 03:00:00","EST","CENTRL","61754","3","3","3","3","1"
"2019/01/01 03:00:00","EST","DUNWOD","61760","3","3","3","3","1"
"2019/01/01 03:00:00","EST","GENESE","61753","3","3","3","3","1"
"2019/01/01 03:00:00","EST","HUD VL","61758","3","3","3","3","1"
"2019/01/01 03:00:00","EST","LONGIL","61762","3","3","3","3","1"
"2019/01/01 03:00:00","EST","MHK VL","61756","3","3","3","3","1"
"2019/01/01 03:00:00","EST","MILLWD","61759","3","3","3","3","1"
"2019/01/01 03:00:00","EST","N.Y.C.","61761","3","3","3","3","1"
"2019/01/01 03:00:00","EST","NORTH","61755","3","3","3","3","1"
"2019/01/01 03:00:00","EST","WEST","61752","3","3","3","3","1"
"2019/01/01 04:00:00","EST","CAPITL","61757","3","3","3","21.1","1"
"2019/01/01 04:00:00","EST","CENTRL","61754","3","3","3","21.1","1"
"2019/01/01 04:00:00","EST","DUNWOD","61760","3","3","3","21.1","1"
"2019/01/01 04:00:00","EST","GENESE","61753","3","3","3","21.1","1"
"2019/01/01 04:00:00","EST","HUD VL","61758","3","3","3","21.1","1"
"2019/01/01 04:00:00","EST","LONGIL","61762","3","3","3","21.1","1"
"2019/01/01 04:00:00","EST","MHK VL","61756","3","3","3","21.1","1"
"2019/01/01 04:00:00","EST","MILLWD","61759","3","3","3","21.1","1"
"2019/01/01 04:00:00","EST","N.Y.C.","61761","3","3","3","21.1","1"
"2019/01/01 04:00:00","EST","NORTH","61755","3","3","3","21.1","1"
"2019/01/01 04:00:00","EST","WEST","61752","3","3","3","21.1","1"
"2019/01/01 05:00:00","EST","CAPITL","61757","3","3","3","35.22","1"
"2019/01/01 05:00:00","EST","CENTRL","61754","3","3","3","35.22","1"
"2019/01/01 05:00:00","EST","DUNWOD","61760","3","3","3","35.22","1"
"2019/01/01 05:00:00","EST","GENESE","61753","3","3","3","35.22","1"
"2019/01/01 05:00:00","EST","HUD VL","61758","3","3","3","35.22","1"
"2019/01/01 05:00:00","EST","LONGIL","61762","3","3","3","35.22","1"
"2019/01/01 05:00:00","EST","MHK VL","61756","3","3","3","35.22","1"
"2019/01/01 05:00:00","EST","MILLWD","61759","3","3","3","35.22","1"
"2019/01/01 05:00:00","EST","N.Y.C.","61761","3","3","3","35.22","1"
"2019/01/01 05:00:00","EST","NORTH","61755","3","3","3","35.22","1"
"2019/01/01 05:00:00","EST","WEST","61752","3","3","3","35.22","1"
"2019/01/01 06:00:00","EST","CAPITL","61757","3","3","3","32.95","1"
"2019/01/01 06:00:00","EST","CENTRL","61754","3","3","3","32.95","1"
"2019/01/01 06:00:00","EST","DUNWOD","61760","3","3","3","32.95","1"
"2019/01/01 06:00:00","EST","GENESE","61753","3","3","3","32.95","1"
"2019/01/01 06:00:00","EST","HUD VL","61758","3","3","3","32.95","1"
"2019/01/01 06:00:00","EST","LONGIL","61762","3","3","3","32.95","1"
"2019/01/01 06:00:00","EST","MHK VL","61756","3","3","3","32.95","1"
"2019/01/01 06:00:00","EST","MILLWD","61759","3","3","3","32.95","1"
"2019/01/01 06:00:00","EST","N.Y.C.","61761","3","3","3","32.95","1"
"2019/01/01 06:00:00","EST","NORTH","61755","3","3","3","32.95","1"
"2019/01/01 06:00:00","EST","WEST","61752","3","3","3","32.95","1"
"2019/01/01 07:00:00","EST","CAPITL","61757","5","5","5","13.2","1"
"2019/01/01 07:00:00","EST","CENTRL","61754","5","5","5","13.2","1"
"2019/01/01 07:00:00","EST","DUNWOD","61760","5","5","5","13.2","1"
"2019/01/01 07:00:00","EST","GENESE","61753","5","5","5","13.2","1"
"2019/01/01 07:00:00","EST","HUD VL","61758","5","5","5","13.2","1"
"2019/01/01 07:00:00","EST","LONGIL","61762","5","5","5","13.2","1"
"2019/01/01 07:00:00","EST","MHK VL","61756","5","5","5","13.2","1"
"2019/01/01 07:00:00","EST","MILLWD","61759","5","5","5","13.2","1"
