"RTD End Time Stamp","Zone Name","Zone PTID","RTD Zonal LBMP","RTD Zonal Losses","RTD Zonal Congestion","RTD Zonal Price Version"
"2019/02/27 00:05:00","HUD VL","61758","-10.78","-0.75","0","1"
"2019/02/27 00:10:00","HUD VL","61758","0.29","0.02","0","1"
"2019/02/27 00:15:00","HUD VL","61758","25.83","1.82","0","1"
"2019/02/27 00:20:00","HUD VL","61758","20.63","1.46","0","1"
"2019/02/27 00:25:00","HUD VL","61758","20.48","1.46","0","1"
"2019/02/27 00:30:00","HUD VL","61758","24.43","1.77","0","1"
"2019/02/27 00:35:00","HUD VL","61758","24.43","1.77","0","1"
"2019/02/27 00:40:00","HUD VL","61758","21.55","1.54","0","1"
"2019/02/27 00:45:00","HUD VL","61758","25.98","1.86","0","1"
"2019/02/27 00:50:00","HUD VL","61758","25.36","1.79","0","1"
"2019/02/27 00:55:00","HUD VL","61758","24.74","1.75","0","1"
"2019/02/27 01:00:00","HUD VL","61758","27.03","1.93","0","1"
"2019/02/27 01:05:00","HUD VL","61758","25.9","1.85","0","1"
"2019/02/27 01:10:00","HUD VL","61758","25.9","1.83","0","1"
"2019/02/27 01:15:00","HUD VL","61758","26.09","1.87","0","1"
"2019/02/27 01:20:00","HUD VL","61758","26.14","1.87","0","1"
"2019/02/27 01:25:00","HUD VL","61758","26.01","1.86","0","1"
"2019/02/27 01:30:00","HUD VL","61758","25.88","1.83","0","1"
"2019/02/27 01:35:00","HUD VL","61758","25.36","1.79","0","1"
"2019/02/27 01:40:00","HUD VL","61758","25.06","1.79","0","1"
"2019/02/27 01:45:00","HUD VL","61758","25.03","1.77","0","1"
"2019/02/27 01:50:00","HUD VL","61758","24.43","1.77","0","1"
"2019/02/27 01:55:00","HUD VL","61758","26.22","1.87","0","1"
"2019/02/27 02:00:00","HUD VL","61758","18.17","1.25","0","1"
"2019/02/27 02:05:00","HUD VL","61758","24.73","1.66","0","1"
"2019/02/27 02:10:00","HUD VL","61758","24.76","1.71","0","1"
"2019/02/27 02:15:00","HUD VL","61758","25.96","1.77","0","1"
"2019/02/27 02:20:00","HUD VL","61758","25.9","1.74","0","1"
"2019/02/27 02:25:00","HUD VL","61758","25.88","1.76","0","1"
"2019/02/27 02:30:00","HUD VL","61758","25.88","1.74","0","1"
"2019/02/27 02:35:00","HUD VL","61758","25.88","1.74","0","1"
"2019/02/27 02:40:00","HUD VL","61758","25.05","1.68","0","1"
"2019/02/27 02:45:00","HUD VL","61758","24.43","1.64","0","1"
